,male,female
0,збижц,збижцесса
1,лрицотацин,лрицотацка
2,кысавель,кысавельница
3,взюрнэк,взюрнэца
4,бтрюгтижер,бтрюгтижерша
5,тииплонимт,тииплонимтка
6,кдер,кдриса
7,иврабт,иврабтка
8,баштанин,баштанка
9,аткещчоситт,аткещчоситтка
10,тофец,тофчиха
11,кхюбгик,кхюбгица
12,баианист,бианистка
13,презтупцик,презтупцица
14,пепочтер,пепочтерша
15,раб,рабыня
16,финчёст,финчёстка
17,цэлмун,цэлмунья
18,нёкущвик,нёкущвица
19,мтацырь,мтацырка
20,врач,врачиха
21,гаксир,гаксирша
22,божсосовец,божсосовка
23,утежик,утежица
24,чроцодщэк,чроцодщэца
25,вотлитерефь,вотлитерефьница
26,ушрорикёпь,ушрорикёпьница
27,солырашерь,солырашерьница
28,гваф,гвафиня
29,згесшьнин,згесшьянка
30,жибугижт,жибугижтка
31,клачовник,клачовница
32,шридесь,шридесьница
33,нгежацифт,нгежацифтка
34,щсичхык,щсичхыца
35,маригёр,маригёрка
36,хешенодист,хешенодистка
37,гисхарт,гисхартка
38,сарнер,сарнерша
39,хажобчик,хажобчица
40,поцузшик,поцузшица
41,борфедник,борфедница
42,кочлтвенжик,кочлтвенжица
43,дыбтер,дыбтерша
44,нирмыч,нирмычка
45,такщир,такщирша
46,чашфизан,чашфизанка
47,дгёсяхин,дгёсяхка
48,зюдтер,зюдтерица
49,паианист,пианистка
50,катфер,катферша
51,гсанинель,гсанинельница
52,чощнетпик,чощнетпица
53,ффодец,ффодчиха
54,фаепткик,фаепткица
55,бшюч,бшючиха
56,нсугэзт,нсугэзтка
57,жосыгамь,жосыгамыня
58,шичрач,шичрачка
59,фенниритт,феннириттка
60,саианист,сианистка
61,баскеббовижт,баскеббовижтка
62,гардебофцик,гардебофцица
63,щзязь,щзягиня
64,чняф,чняфиня
65,кофтикоц,кофтикоца
66,хачет,хачетка
67,жучзёсист,жучзёсистка
68,гэвлужчик,гэвлужчица
69,дичсафт,дичсафтка
70,хомпун,хомпунья
71,нхищерь,нхищерьница
72,наецсик,наецсица
73,лирий,лиренка
74,даббёр,даббёрша
75,збёмачь,збёмачка
76,бюлевьгик,бюлевьгица
77,кгюзрик,кгюзрица
78,жаианист,жианистка
79,фолуфхик,фолуфхица
80,реввихт,реввихтка
81,кидезь,кидезьница
82,алгинт,алгинтка
83,тенлооскрыватель,тенлоосркрывательница
84,комефик,комефица
85,ренобфер,ренобферша
86,пцошец,пцошчиха
87,рикий,рикенка
88,шутсюсашель,шутсюсашельница
89,крющрик,крющрица
90,гофолипель,гофолипельница
91,шпаф,шпафиня
92,гатвор,гатвовщица
93,тебетщагирт,тебетщагиртка
94,таианист,тианистка
95,птэлвик,птэлвица
96,фнизадь,фнизадка
97,гизхант,гизхантка
98,смтипхизер,смтипхизерша
99,гбамганин,гбамганка
100,цорзтвезник,цорзтвезница
101,садмжоторщик,садмжоторщица
102,щжоцец,щжоцчиха
103,вомвебсак,вомвебсаца
104,хчомтшмен,хчомтшменка
105,поцж,поцжиха
106,пэрещнор,пэрещнриса
107,асбёшагт,асбёшагтка
108,бисфуксик,бисфуксица
109,жчаф,жчафиня
110,бифектор,бифектриса
111,хрекхьнин,хрекхьянка
112,снадамь,снадамка
113,цатначбик,цатначбица
114,шохшифац,шохшифаца
115,сцежешт,сцежештка
116,кижежтор,кижежтриса
117,вашсчотозкик,вашсчотозкица
118,богих,богихиня
119,дчач,дчачиха
120,нужонцик,нужонцица
121,чань,чаница
122,пащшер,пащшерица
123,дижяквор,дижяквриса
124,дбызь,дбыгиня
125,тенж,тенжиха
126,асрер,асрриса
127,тащь,тащица
128,бащкесбюликт,бащкесбюликтка
129,нысж,нысжиха
130,сполгфцен,сполгфценка
131,теннихирт,теннихиртка
132,чшусцьнин,чшусцьянка
133,сфожавец,сфожавщица
134,гирзамт,гирзамтка
135,лхмипчизер,лхмипчизерша
136,мзагнавин,мзагнавка
137,тадххочорщик,тадххочорщица
138,шгюидд,шгюиддесса
139,хакь,хакица
140,шцакмавин,шцакмавка
141,жовнабибт,жовнабибтка
142,буцен,буцина
143,побшишец,побшишеца
144,каендсик,каендсица
145,випий,випенка
146,наебшнык,наебшныца
147,сяплушкик,сяплушкица
148,гедец,гедица
149,рлортсзен,рлортсзенка
150,чешевивт,чешевивтка
151,срочец,сроччиха
152,щихлич,щихличка
153,цендетарь,цендетарша
154,хрризтизер,хрризтизерша
155,мофашшик,мофашшица
156,омеракиккк,омеракиккица
157,хохж,хохжиха
158,сранибыль,сранибыльница
159,кгачивещь,кгачивещьница
160,цдафшачин,цдафшачка
161,шацестлик,шацестлица
162,дудпарижт,дудпарижтка
163,кровицэнемь,кровицэнемьница
164,цгижекь,цгижекьница
165,вапеттхик,вапеттхица
166,таглицан,таглицанка
167,жарцебобщик,жарцебобщица
168,секферарь,секферарша
169,пжехкулник,пжехкулница
170,рефсист,рефсистка
171,фогофбик,фогофбица
172,фавзёр,фавзёрша
173,раснязжик,раснязжица
174,бжач,бжачиха
175,цижещкор,цижещкриса
176,бракитехь,бракитехьница
177,кодиратечь,кодиратечьница
178,наежмрик,наежмрица
179,хекнежёмь,хекнежёмша
180,шресдёжкик,шресдёжкица
181,пижавель,пижавельница
182,щуден,щудина
183,магмер,магмерица
184,шалгазвик,шалгазвица
185,пебемодбак,пебемодбаца
186,цызиражель,цызиражельница
187,поммючник,поммючница
188,цшюачд,цшюачдесса
189,сораччик,сораччица
190,тщисехь,тщисехьница
191,футщочидт,футщочидтка
192,изхератор,изхератрица
193,годсзрудник,годсзрудница
194,щехвыоткрыватель,щехвыотркрывательница
195,квитезь,квитезьница
196,натхюдагефь,натхюдагефьница
197,озядашивнк,озядашивница
198,гужярташор,гужярташорша
199,фубнятищт,фубнятищтка
200,нумналикт,нумналиктка
201,бацгетбобист,бацгетбобистка
202,шладиппик,шладиппица
203,корхихёц,корхихёца
204,щцебатэст,щцебатэстка
205,нчырец,нчырчиха
206,гпажращин,гпажращка
207,котезик,котезица
208,каезбчик,каезбчица
209,фузчезник,фузчезница
210,шащь,шащица
211,зощсовочец,зощсовочка
212,цвовамин,цвовамка
213,утоддик,утоддица
214,натфподыцщик,натфподыцщица
215,зроводжик,зроводжица
216,жгилрик,жгилрица
217,вацдакер,вацдакерша
218,випурижт,випурижтка
219,нгеттужшик,нгеттужшица
220,химпач,химпачка
221,жужечщик,жужечщица
222,задкезнолигт,задкезнолигтка
223,фогугнёк,фогугнёца
224,пхимяжанин,пхимяжанка
225,жущемпетор,жущемпеторша
226,гошмизец,гошмизеца
227,хщирезь,хщирезьница
228,кулщолист,кулщолистка
229,сечафоништ,сечафоништка
230,ачмер,ачмриса
231,мевреракь,мевреракша
232,кокнищец,кокнищеца
233,жхахапь,жхахапка
234,пфиморасин,пфимораска
235,келанчик,келанчица
236,члябищешь,члябищешьница
237,акналажбэст,акналажбэстка
238,напфир,напфирша
239,нпожгчмен,нпожгчменка
240,гурен,гурина
241,фражвадин,фражвадка
242,лезлимт,лезлимтка
243,ачдалавливт,ачдалавливтка
244,рушерчатор,рушерчаторша
245,хетфижигт,хетфижигтка
246,лозлухмик,лозлухмица
247,дрицодатагель,дрицодатагельница
248,пхёвц,пхёвцесса
249,шамадмик,шамадмица
250,коквижец,коквижеца
251,мничсик,мничсица
252,тесефобагт,тесефобагтка
253,фозегник,фозегница
254,инбесюгор,инбесюгрица
255,ришевбор,ришевбриса
256,гшоцмсмен,гшоцмсменка
257,вашгир,вашгирша
258,кыприк,кыприца
259,патхух,патхушка
260,кечокилетист,кечокилетистка
261,гхажпафин,гхажпафка
262,нотупник,нотупница
263,журлацимт,журлацимтка
264,кранацист,кранацистка
265,корзипамель,корзипамельница
266,лотачмик,лотачмица
267,возхтвенник,возхтвенница
268,шращсазин,шращсазка
269,чекенизт,чекенизтка
270,ллхопмисер,ллхопмисерша
271,спорхчкен,спорхчкенка
272,чагтюр,чагтюрица
273,щотхтвенник,щотхтвенница
274,сханарь,сханарка
275,викий,викенка
276,щузоть,щузотева
277,гичуркик,гичуркица
278,зпочтшмен,зпочтшменка
279,ткюшчик,ткюшчица
280,стшиптишер,стшиптишерша
281,жещбилт,жещбилтка
282,силагзор,силагзриса
283,фабфёдатесь,фабфёдатесьница
284,назмер,назмерица
285,сожутхик,сожутхица
286,цщозец,цщозчиха
287,чочкурпик,чочкурпица
288,тичацуль,тичацульница
289,ахдер,ахдриса
290,шнащагь,шнащагка
291,бомж,бомжиха
292,сфёпллген,сфёпллгенка
293,сбючник,сбючница
294,пшечцюдсик,пшечцюдсица
295,шогохмик,шогохмица
296,гэсжагт,гэсжагтка
297,срестумник,срестумница
298,кжувщик,кжувщица
299,хурнадяст,хурнадястка
300,чвифцик,чвифцица
301,намсможожшик,намсможожшица
302,млащсик,млащсица
303,цурихьвэк,цурихьвэца
304,вможянин,вможянка
305,члащазщик,члащазщица
306,наргмотэщник,наргмотэщница
307,твмипвизер,твмипвизерша
308,трубест,трубестка
309,зшитешь,зшитешьница
310,басфедполибт,басфедполибтка
311,клафэбцик,клафэбцица
312,маюглик,маюглица
313,ковфишец,ковфишеца
314,журхащитт,журхащиттка
315,зелешришибт,зелешришибтка
316,балнедер,балнедерша
317,повепюфедь,повепюфедьница
318,мпонец,мпончиха
319,пежанин,пежанка
320,чрепёсахачепь,чрепёсахачепьница
321,хкач,хкачиха
322,цоколь,цоколева
323,тошмичец,тошмичеца
324,шзашать,шзашатка
325,катчавер,катчаверша
